Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Rating_category,cost_per_person,is_expensive,Country
6317637,Le Petit Souffle,162,Makati City,121.027535,14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Excellent,550.0,0,Phillipines
6304287,Izakaya Kikufuji,162,Makati City,121.014101,14.553708,Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Excellent,600.0,0,Phillipines
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Excellent,2000.0,1,Phillipines
6318506,Ooma,162,Mandaluyong City,121.056475,14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Excellent,750.0,1,Phillipines
6314302,Sambo Kojin,162,Mandaluyong City,121.057508,14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Excellent,750.0,1,Phillipines
18189371,Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,Excellent,500.0,0,Phillipines
6300781,Buffet 101,162,Pasay City,120.9796667,14.53133333,"Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,Excellent,1000.0,1,Phillipines
6301290,Vikings,162,Pasay City,120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Excellent,1000.0,1,Phillipines
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98009,14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Excellent,3000.0,1,Phillipines
6314987,Locavore,162,Pasig City,121.056532,14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Excellent,550.0,0,Phillipines
6309903,Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Excellent,400.0,0,Phillipines
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,121.06082,14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Excellent,450.0,0,Phillipines
6318433,Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Excellent,400.0,0,Phillipines
6310470,Guevarra's,162,San Juan City,121.0335917,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,Excellent,500.0,0,Phillipines
6314605,Sodam Korean Restaurant,162,San Juan City,121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Excellent,350.0,0,Phillipines
18185059,Cafe Arabelle,162,Santa Rosa,121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Good,400.0,0,Phillipines
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,121.0565874,14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,Excellent,425.0,0,Phillipines
6318213,Balay Dako,162,Tagaytay City,120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Excellent,600.0,0,Phillipines
18255654,Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Excellent,300.0,0,Phillipines
